animal_id,dt_date,days_relative_to_stage_5,fixation_dur,cpoke_dur,threshold_day,days_relative_to_stage_5_adj
R512,2023-07-31,0,0.405,0.588033613445383,4,1
R512,2023-08-01,1,0.605,0.8133449664429491,4,2
R512,2023-08-02,2,0.8150000000000001,0.9920467213114683,4,3
R512,2023-08-03,3,1.005,1.1941537190082845,4,4
R512,2023-08-04,4,1.2049999999999998,1.3921381818181948,4,5
R513,2023-07-31,0,0.405,0.6569871287128427,4,1
R513,2023-08-01,1,0.655,0.8521815068493027,4,2
R513,2023-08-02,2,0.855,1.0805231292517228,4,3
R513,2023-08-03,3,1.055,1.2610582191780846,4,4
R513,2023-08-04,4,1.255,1.4652345323741212,4,5
R621,2023-08-23,0,0.405,0.581150000000207,2,1
R621,2023-08-24,1,0.586150000000207,1.1008129411764618,2,2
R621,2023-08-25,2,1.1058129411764617,1.441049382716051,2,3
R622,2023-08-22,0,0.405,0.7067318181817964,3,1
R622,2023-08-23,1,0.7240652173912697,1.0726609022556448,3,2
R622,2023-08-24,2,1.0776609022556447,1.3789523809524042,3,3
R622,2023-08-25,3,1.383992913385848,1.6755214876033249,3,4
R623,2023-08-26,0,0.405,0.6277109890109881,4,1
R623,2023-08-27,1,0.6327109890109881,0.7938079646017475,4,2
R623,2023-08-28,2,0.7984447368420777,1.005702083333336,4,3
R623,2023-08-29,3,1.010702083333336,1.239587962962963,4,4
R623,2023-08-30,4,1.2445879629629628,1.4453810810810561,4,5
