animal_id,stage,fixation_dur,date,penalty,violation_rate,days_relative_to_stage_8
R512,7.0,1.2049999999999998,2023-08-04,off,56.00000000000001,-4
R512,6.0,1.2049999999999998,2023-08-13,off,43.13725490196079,-3
R512,6.0,1.4049999999999998,2023-08-14,off,46.93877551020408,-2
R512,7.0,1.555,2023-08-15,off,44.680851063829785,-1
R512,8.0,1.5539999999999998,2023-08-16,on,25.78125,0
R512,8.0,1.7039999999999997,2023-08-17,on,25.196850393700785,1
R512,8.0,1.8539999999999999,2023-08-18,on,12.857142857142856,2
R513,6.0,1.255,2023-08-04,off,45.490196078431374,-4
R513,6.0,1.255,2023-08-13,off,50.46728971962617,-3
R513,6.0,1.4049999999999998,2023-08-14,off,50.24154589371981,-2
R513,7.0,1.4049999999999998,2023-08-15,off,34.6820809248555,-1
R513,8.0,1.4039999999999997,2023-08-16,on,11.504424778761061,0
R513,8.0,1.6039999999999999,2023-08-17,on,15.172413793103448,1
R513,8.0,1.7539999999999998,2023-08-18,on,19.10828025477707,2
R621,5.0,1.1058129411764617,2023-08-25,off,61.74242424242424,-5
R621,6.0,1.1058129411764617,2023-08-25,off,49.16666666666667,-5
R621,6.0,1.446049382716051,2023-08-26,off,42.92452830188679,-4
R621,7.0,1.446049382716051,2023-08-26,off,33.89830508474576,-4
R621,7.0,1.768453749999948,2023-08-27,off,52.06896551724138,-3
R621,7.0,2.092287142857115,2023-08-28,off,59.23344947735192,-2
R621,7.0,2.398483050847454,2023-08-29,off,53.81679389312977,-1
R621,8.0,2.6840551999999827,2023-08-30,on,29.230769230769234,0
R621,8.0,2.29295190839694,2023-08-31,on,23.48993288590604,1
R621,8.0,2.1475320000000258,2023-09-01,on,14.583333333333334,2
R622,5.0,0.405,2023-08-22,off,76.08695652173914,-4
R622,5.0,0.7240652173912697,2023-08-23,off,69.85074626865672,-3
R622,6.0,0.7240652173912697,2023-08-23,off,58.44155844155844,-3
R622,6.0,1.0776609022556447,2023-08-24,off,60.586319218241044,-2
R622,7.0,1.0776609022556447,2023-08-24,off,44.44444444444444,-2
R622,7.0,1.383992913385848,2023-08-25,off,48.9451476793249,-1
R622,8.0,1.6544608695652188,2023-08-26,on,22.22222222222222,0
R622,8.0,1.6060662068964562,2023-08-27,on,6.299212598425196,1
R623,6.0,1.2445879629629628,2023-08-30,off,48.96551724137931,-5
R623,6.0,1.450381081081056,2023-08-31,off,40.54054054054054,-4
R623,6.0,1.666433636363629,2023-09-01,off,38.57868020304569,-3
R623,7.0,1.666433636363629,2023-09-01,off,0.0,-3
R623,7.0,1.9216828124999812,2023-09-02,off,31.25,-2
R623,7.0,2.197298461538464,2023-09-03,off,21.42857142857143,-1
R623,8.0,2.4519214285714597,2023-09-04,on,21.08843537414966,0
R623,8.0,2.4570374100719206,2023-09-05,on,13.846153846153847,1
R623,8.0,2.5184310077519307,2023-09-06,on,9.774436090225564,2
